source1_entity_id,cand_count,gt_matches,pred_matches_82,pred_matches_90,pred_matches_95,top1_prob,top2_prob,prob_margin,has_zero_gt,top1_is_correct,top1_candidate_id,top1_source
S1-100018714,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-939124201,source2
S1-100146655,9,0,0,0,0,0.0001,0.0,0.0,true,false,S2-803159433,source2
S1-100161351,42,0,0,0,0,0.0,0.0,0.0,true,false,S2-560449715,source2
S1-100221014,1,1,1,1,1,0.9928,0.0,0.9928,false,true,S3-134118960,source3
S1-100377404,39,0,0,0,0,0.0001,0.0,0.0,true,false,S2-713055989,source2
S1-100405609,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-215164855,source2
S1-100423337,1,1,1,1,1,0.9988,0.0,0.9988,false,true,S2-462002062,source2
S1-100899977,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-106493296,source3
S1-100901319,1,0,0,0,0,0.0,0.0,0.0,true,false,S2-395632950,source2
S1-100946908,3,0,0,0,0,0.0002,0.0001,0.0001,true,false,S2-903779353,source2
S1-100979361,3,0,0,0,0,0.0,0.0,0.0,true,false,S2-853799526,source2
S1-101016440,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-973464365,source2
S1-101076392,74,0,0,0,0,0.0004,0.0001,0.0003,true,false,S2-588940457,source2
S1-101122655,42,0,0,0,0,0.0,0.0,0.0,true,false,S3-890796660,source3
S1-101153630,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S2-697924266,source2
S1-101276664,62,0,0,0,0,0.0002,0.0,0.0001,true,false,S3-267727561,source3
S1-101336276,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-632958191,source3
S1-101517480,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-616774466,source3
S1-101523053,1,0,0,0,0,0.0199,0.0,0.0199,true,false,S3-920699242,source3
S1-101650418,7,0,0,0,0,0.0,0.0,0.0,true,false,S2-339737852,source2
S1-101683087,54,0,0,0,0,0.0,0.0,0.0,true,false,S3-42100441,source3
S1-101715485,23,0,0,0,0,0.0002,0.0,0.0002,true,false,S2-441938596,source2
S1-101751465,3,0,0,0,0,0.0216,0.0001,0.0215,true,false,S2-44162524,source2
S1-101780847,3,0,0,0,0,0.0,0.0,0.0,true,false,S3-491514224,source3
S1-102111269,2,0,0,0,0,0.0,0.0,0.0,true,false,S2-786189456,source2
S1-10212556,1,1,1,1,1,0.9863,0.0,0.9863,false,true,S2-529805872,source2
S1-102170593,1,0,0,0,0,0.0,0.0,0.0,true,false,S3-676674557,source3
S1-102654924,37,0,0,0,0,0.0005,0.0,0.0004,true,false,S3-309656009,source3
S1-102733049,1,0,0,0,0,0.0001,0.0,0.0001,true,false,S3-397717230,source3
S1-102798213,1,1,1,1,1,0.9997,0.0,0.9997,false,true,S2-70300079,source2
S1-102805722,2,0,0,0,0,0.0,0.0,0.0,true,false,S3-66095919,source3
S1-102806263,3,0,0,0,0,0.016,0.0001,0.016,true,false,S2-72408016,source2
S1-102840576,36,0,0,0,0,0.0,0.0,0.0,true,false,S3-641145755,source3
