analysis_threshold,error_type,error_category,source1_entity_id,candidate_entity_id,candidate_source,country,predicted_prob,name_char_3gram_jaccard,address_char_3gram_similarity,shared_address_number_count,address_missing_candidate
0.82,FP,SHARED_LOCATION_DIFFERENT_BIZ,S1-276132619,S2-426117404,source2,india,0.9990523,0.64285713,0.82894737,1,0
0.82,FP,SHARED_LOCATION_DIFFERENT_BIZ,S1-842614852,S2-92900333,source2,india,0.998146,0.52,1.0,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-264894054,S3-348528084,source3,united states,0.99676126,0.84615386,0.516129,1,0
0.82,FP,SHARED_LOCATION_DIFFERENT_BIZ,S1-716162798,S2-98234472,source2,united states,0.9957783,0.57575756,1.0,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-922429406,S2-970808601,source2,india,0.99155664,0.24324325,0.5185185,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-478383522,S3-292290735,source3,india,0.9875624,0.5,0.5,1,0
0.82,FP,SIMILAR_NAME_BRANCH_MISMATCH,S1-641236003,S3-82107141,source3,india,0.985137,1.0,0.33333334,0,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-520357461,S3-34902775,source3,united states,0.97170556,0.7647059,0.578125,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-944137003,S3-726108094,source3,united states,0.970056,1.0,0.6603774,0,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-148825883,S2-420994904,source2,india,0.9622595,0.8064516,0.875,0,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-234698005,S2-687002698,source2,india,0.9554254,0.72727275,0.7625,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-918589311,S3-422487378,source3,united states,0.9509548,0.8518519,0.51428574,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-235586975,S2-631028550,source2,india,0.94765985,0.64705884,0.72839504,2,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-429162370,S3-558325632,source3,united states,0.93651223,0.68,0.6666667,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-659888182,S2-668547533,source2,united states,0.9330947,0.8888889,0.55263156,0,0
0.82,FP,ADDRESS_NUMBER_COLLISION,S1-972480708,S2-951146455,source2,united states,0.9254676,0.44186047,0.35135135,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-775283044,S2-559911916,source2,united states,0.8845557,0.7647059,0.6756757,0,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-33710717,S2-188474350,source2,india,0.8779783,0.7916667,0.2826087,1,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-942929065,S3-20242737,source3,india,0.8772573,0.59375,0.62222224,2,0
0.82,FP,SIMILAR_NAME_BRANCH_MISMATCH,S1-864424907,S2-196525654,source2,india,0.86713564,1.0,0.16239317,0,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-908679329,S2-459000273,source2,united states,0.86291254,0.88235295,0.5625,0,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-962563594,S2-952685148,source2,united states,0.85046685,0.7777778,0.475,0,0
0.82,FP,SIMILAR_NAME_BRANCH_MISMATCH,S1-36484584,S3-783976490,source3,india,0.8459825,1.0,0.23958333,0,0
0.82,FP,SHARED_LOCATION_DIFFERENT_BIZ,S1-98371688,S2-179840762,source2,india,0.84285146,0.64102566,0.7647059,0,0
0.82,FP,OTHER_FALSE_POSITIVE,S1-329375581,S2-970169752,source2,united states,0.8203214,0.87096775,0.7222222,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-605524580,S2-710114025,source2,india,0.0000031259037,0.4074074,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-121839562,S3-42114892,source3,united states,0.0010021692,0.76666665,0.0,0,1
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-77567238,S3-923426508,source3,india,0.00109582,1.0,0.12857144,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-605302995,S2-804102430,source2,india,0.0011688197,0.6875,0.0,0,1
0.82,FN,OTHER_FALSE_NEGATIVE,S1-52573936,S3-175183145,source3,india,0.0012946273,0.5882353,0.13095239,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-705467901,S3-86479312,source3,united states,0.0014685044,0.5135135,0.4473684,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-555957831,S3-850596301,source3,india,0.0016813216,1.0,0.13043478,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-580992307,S3-62710162,source3,india,0.0017656155,0.625,0.20289855,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-441821984,S3-890496189,source3,india,0.002304198,0.6060606,0.14754099,1,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-943719187,S2-867170522,source2,united states,0.0024432736,0.7222222,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-311138619,S2-227490072,source2,united states,0.0037319171,0.8148148,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-137026686,S2-840758843,source2,united states,0.0041067153,0.7894737,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-667605690,S2-584729438,source2,united states,0.0044757687,0.6666667,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-37255821,S2-152268604,source2,india,0.005003073,0.36363637,0.6825397,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-867508043,S2-570625919,source2,united states,0.005628034,1.0,0.1969697,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-635401949,S2-877623126,source2,india,0.0063575786,0.7894737,0.0,0,1
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-88229953,S3-928860132,source3,india,0.0065426934,0.0,1.0,1,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-847932090,S3-337599976,source3,united states,0.00958176,0.0,1.0,1,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-654395773,S3-334578050,source3,united states,0.012555573,0.75,0.125,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-206499309,S3-284599852,source3,india,0.014568398,0.28,0.25,1,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-268700893,S2-654622206,source2,united states,0.014618101,0.7826087,0.26229507,0,0
0.82,FN,NAME_DIVERGENCE,S1-409961376,S2-636625504,source2,india,0.01582664,0.06818182,0.44827586,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-588360895,S2-157435214,source2,united states,0.017173005,0.6956522,0.55263156,0,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-257812703,S3-725123230,source3,united states,0.018118504,0.52,0.55,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-676294630,S2-124173627,source2,united states,0.019932615,0.6666667,0.47272727,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-743910612,S3-857379461,source3,united states,0.020397453,0.74285716,0.5609756,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-574568737,S2-689329503,source2,india,0.023210837,1.0,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-302526871,S3-387482318,source3,india,0.023670072,0.4047619,0.5072464,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-117150004,S2-991691724,source2,united states,0.025812058,0.84,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-845245569,S3-166654622,source3,india,0.027270706,1.0,0.0,0,1
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-259452306,S3-787015231,source3,united states,0.02851176,1.0,0.21276596,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-504790211,S2-340882825,source2,united states,0.029752718,0.8,0.0,0,1
0.82,FN,OTHER_FALSE_NEGATIVE,S1-911341652,S3-55880086,source3,united states,0.03174644,0.75,0.375,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-265848869,S2-274692733,source2,united states,0.03408464,0.6666667,0.6451613,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-776420280,S3-247061270,source3,india,0.0372065,1.0,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-268317178,S3-177365809,source3,united states,0.03856008,0.7894737,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-317579136,S2-999793401,source2,india,0.0409102,1.0,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-831786720,S3-770613933,source3,india,0.059793092,0.4857143,0.14925373,1,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-813191679,S3-313620211,source3,united states,0.061588094,0.65,0.2264151,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-657618079,S2-423099834,source2,united states,0.06192822,0.6666667,0.6969697,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-358230521,S3-906943281,source3,united states,0.07138898,0.8095238,0.3478261,0,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-270092084,S3-452834909,source3,india,0.07280372,0.0,1.0,2,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-745628715,S3-255402105,source3,united states,0.0780696,0.7111111,0.79545456,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-624853217,S2-142962044,source2,united states,0.0832912,0.9285714,0.0,0,1
0.82,FN,OTHER_FALSE_NEGATIVE,S1-706591875,S2-811072158,source2,united states,0.084455624,1.0,0.4375,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-547641536,S3-430070224,source3,united states,0.09111498,0.82758623,0.5217391,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-963279486,S3-197069383,source3,united states,0.09396116,0.6052632,0.4888889,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-418182410,S2-134405648,source2,united states,0.0943715,0.64705884,0.6875,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-73715434,S3-469818823,source3,united states,0.095233195,0.8181818,0.45454547,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-307913042,S2-968481229,source2,united states,0.095989436,0.73333335,0.3,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-795915943,S2-242231390,source2,india,0.10006268,0.8888889,0.0,0,1
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-444385292,S2-489004332,source2,united states,0.10034117,0.53125,0.75,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-857426094,S3-572240479,source3,india,0.10316494,0.625,0.7777778,0,0
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-966607820,S3-88317059,source3,india,0.11520773,0.6896552,0.16842106,0,0
0.82,FN,TRANSLITERATION_OR_SCRIPT_VARIANT,S1-593387936,S3-255830893,source3,india,0.11579132,0.1,0.7903226,1,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-488871702,S2-241944951,source2,united states,0.11598834,1.0,0.0,0,1
0.82,FN,OTHER_FALSE_NEGATIVE,S1-910041461,S2-509201107,source2,united states,0.12160091,0.7222222,0.44186047,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-881665599,S3-353938359,source3,united states,0.1246378,1.0,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-178206037,S2-238463399,source2,india,0.1256358,0.22222222,0.7532467,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-372395061,S2-397854253,source2,united states,0.13078842,0.7777778,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-749912968,S2-752638662,source2,united states,0.13853607,1.0,0.0,0,1
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-588302854,S2-874748213,source2,united states,0.1406762,0.7777778,0.0,0,1
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-178921025,S3-156709896,source3,united states,0.14435722,0.44827586,0.4848485,1,0
0.82,FN,ABBREVIATION_OR_ACRONYM,S1-370087413,S3-785037759,source3,india,0.15093608,0.2857143,0.77272725,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-183683731,S2-138033509,source2,united states,0.16041878,0.64285713,0.5641026,0,0
0.82,FN,MISSING_ADDRESS_EVIDENCE,S1-369710074,S2-305071473,source2,india,0.16922748,1.0,0.0,0,1
0.82,FN,SEVERE_ADDRESS_DIVERGENCE,S1-451993718,S3-834265629,source3,india,0.17429483,0.84615386,0.21111111,1,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-716750121,S3-706770739,source3,india,0.17725137,0.7,0.70212764,0,0
0.82,FN,OTHER_FALSE_NEGATIVE,S1-693679725,S3-987018544,source3,united states,0.19112636,0.8333333,0.47457626,0,0
