config_name,features,num_leaves,min_child_samples,learning_rate,n_estimators,mean_f05_90,std_f05_90,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,oof_f05_50,oof_prec_50,oof_rec_50,oof_f05_90,oof_prec_90,oof_rec_90,oof_opt_f05,oof_opt_threshold,oof_pr_auc,oof_roc_auc,total_train_time_sec,avg_fold_train_time_sec
stage_a_L15_M20,29,15,20,0.05,150,0.92,0.0157,0.9522,0.0124,0.9994,0.0004,0.8991,0.9124,0.8497,0.9203,0.9615,0.7855,0.9214,0.94,0.9513,0.9994,5.87,1.17
stage_a_L15_M50,29,15,50,0.05,150,0.9164,0.0191,0.9562,0.0127,0.9994,0.0004,0.9103,0.9228,0.8636,0.9167,0.9647,0.7646,0.9226,0.83,0.9559,0.9994,3.46,0.69
stage_a_L15_M100,29,15,100,0.05,150,0.9203,0.0105,0.9601,0.0117,0.9995,0.0003,0.9119,0.9215,0.8753,0.9204,0.9717,0.7599,0.926,0.85,0.958,0.9995,4.63,0.93
stage_a_L31_M20,29,31,20,0.05,150,0.9225,0.0133,0.9557,0.012,0.9993,0.0007,0.9086,0.9223,0.8578,0.9227,0.9631,0.7902,0.9227,0.9,0.9548,0.9993,5.61,1.12
stage_a_L31_M50,29,31,50,0.05,150,0.9176,0.0139,0.9555,0.0131,0.9994,0.0005,0.9118,0.925,0.8625,0.9178,0.9599,0.7809,0.9241,0.95,0.9551,0.9993,3.93,0.79
stage_a_L31_M100,29,31,100,0.05,150,0.9274,0.0097,0.9601,0.0125,0.9993,0.0008,0.912,0.9233,0.8695,0.9276,0.9738,0.7797,0.9276,0.9,0.9585,0.9992,4.95,0.99
stage_a_L63_M20,29,63,20,0.05,150,0.921,0.0177,0.9573,0.0135,0.9993,0.0008,0.9121,0.9278,0.8543,0.9212,0.958,0.7984,0.9259,0.95,0.9566,0.9991,7.7,1.54
stage_a_L63_M50,29,63,50,0.05,150,0.9239,0.0138,0.9558,0.0131,0.9993,0.0008,0.9084,0.9213,0.8601,0.9241,0.9633,0.7949,0.9245,0.93,0.9557,0.9992,6.01,1.2
stage_a_L63_M100,29,63,100,0.05,150,0.9253,0.0155,0.9608,0.0131,0.9987,0.002,0.9103,0.9228,0.8636,0.9255,0.9647,0.796,0.9301,0.92,0.9596,0.9986,6.19,1.24
stage_b_lr0.03_est100,29,31,100,0.03,100,0.8959,0.0028,0.9599,0.0121,0.9995,0.0004,0.9098,0.9244,0.8555,0.8959,0.9827,0.662,0.9248,0.74,0.9582,0.9995,4.55,0.91
stage_b_lr0.03_est200,29,31,100,0.03,200,0.9245,0.0087,0.9626,0.0126,0.9994,0.0006,0.9145,0.9249,0.8753,0.9246,0.9775,0.7599,0.9306,0.81,0.9615,0.9994,4.96,0.99
stage_b_lr0.03_est300,29,31,100,0.03,300,0.9307,0.009,0.9626,0.0128,0.9995,0.0005,0.91,0.92,0.8718,0.9307,0.9767,0.7832,0.932,0.82,0.9616,0.9994,7.21,1.44
stage_b_lr0.05_est100,29,31,100,0.05,100,0.9218,0.0103,0.9605,0.012,0.9994,0.0005,0.911,0.923,0.866,0.9219,0.9705,0.7681,0.9226,0.8,0.9589,0.9994,5.32,1.06
stage_b_lr0.05_est200,29,31,100,0.05,200,0.9252,0.0127,0.9598,0.013,0.9993,0.0008,0.9105,0.9211,0.8706,0.9254,0.9671,0.789,0.931,0.85,0.9586,0.9992,4.4,0.88
stage_b_lr0.05_est300,29,31,100,0.05,300,0.9281,0.0146,0.96,0.0128,0.9993,0.0008,0.9074,0.9184,0.866,0.9283,0.9651,0.8054,0.9318,0.96,0.9586,0.9992,7.25,1.45
stage_b_lr0.1_est100,29,31,100,0.1,100,0.9129,0.01,0.9538,0.0105,0.9993,0.0005,0.9049,0.9168,0.8601,0.913,0.9508,0.7879,0.917,0.93,0.9525,0.9993,4.95,0.99
stage_b_lr0.1_est200,29,31,100,0.1,200,0.9176,0.0178,0.9566,0.0119,0.9994,0.0005,0.9069,0.92,0.8578,0.9176,0.9483,0.8124,0.9196,0.96,0.9558,0.9993,5.21,1.04
stage_b_lr0.1_est300,29,31,100,0.1,300,0.9178,0.0193,0.9571,0.012,0.9994,0.0005,0.9071,0.921,0.8555,0.9178,0.9451,0.8228,0.9238,0.99,0.9566,0.9994,8.2,1.64
exp_b_baseline_params,30,31,20,0.05,150,0.9208,0.0135,0.9534,0.0116,0.9991,0.001,0.9032,0.9137,0.8636,0.9211,0.9592,0.7949,0.9234,0.84,0.9522,0.9991,3.91,0.78
exp_b_tuned_params,30,31,100,0.03,300,0.9279,0.0105,0.9627,0.0126,0.9995,0.0004,0.911,0.9203,0.8753,0.928,0.9725,0.7844,0.9301,0.81,0.962,0.9995,7.6,1.52
