threshold,tp,fp,fn,tn,precision,recall,f05,f1,predicted_matches
0.5,748,65,110,143125,0.92,0.8718,0.91,0.8953,813
0.51,746,65,112,143125,0.9199,0.8695,0.9093,0.8939,811
0.52,746,65,112,143125,0.9199,0.8695,0.9093,0.8939,811
0.53,746,63,112,143127,0.9221,0.8695,0.9111,0.895,809
0.54,745,57,113,143133,0.9289,0.8683,0.9161,0.8976,802
0.55,742,57,116,143133,0.9287,0.8648,0.9151,0.8956,799
0.56,741,56,117,143134,0.9297,0.8636,0.9157,0.8955,797
0.57,739,55,119,143135,0.9307,0.8613,0.916,0.8947,794
0.58,739,52,119,143138,0.9343,0.8613,0.9187,0.8963,791
0.59,739,51,119,143139,0.9354,0.8613,0.9196,0.8968,790
0.6,737,50,121,143140,0.9365,0.859,0.9199,0.896,787
0.61,737,49,121,143141,0.9377,0.859,0.9208,0.8966,786
0.62,734,48,124,143142,0.9386,0.8555,0.9207,0.8951,782
0.63,733,47,125,143143,0.9397,0.8543,0.9213,0.895,780
0.64,732,46,126,143144,0.9409,0.8531,0.9219,0.8949,778
0.65,730,45,128,143145,0.9419,0.8508,0.9222,0.8941,775
0.66,728,45,130,143145,0.9418,0.8485,0.9215,0.8927,773
0.67,727,43,131,143147,0.9442,0.8473,0.9231,0.8931,770
0.68,727,43,131,143147,0.9442,0.8473,0.9231,0.8931,770
0.69,724,43,134,143147,0.9439,0.8438,0.9221,0.8911,767
0.7,722,43,136,143147,0.9438,0.8415,0.9214,0.8897,765
0.71,720,43,138,143147,0.9436,0.8392,0.9207,0.8883,763
0.72,719,39,139,143151,0.9485,0.838,0.9242,0.8899,758
0.73,718,39,140,143151,0.9485,0.8368,0.9238,0.8892,757
0.74,717,38,141,143152,0.9497,0.8357,0.9244,0.889,755
0.75,715,37,143,143153,0.9508,0.8333,0.9247,0.8882,752
0.76,715,37,143,143153,0.9508,0.8333,0.9247,0.8882,752
0.77,715,36,143,143154,0.9521,0.8333,0.9257,0.8888,751
0.78,714,33,144,143157,0.9558,0.8322,0.9282,0.8897,747
0.79,709,31,149,143159,0.9581,0.8263,0.9285,0.8874,740
0.8,706,28,152,143162,0.9619,0.8228,0.9304,0.8869,734
0.81,706,27,152,143163,0.9632,0.8228,0.9314,0.8875,733
0.82,702,25,156,143165,0.9656,0.8182,0.932,0.8858,727
0.83,698,24,160,143166,0.9668,0.8135,0.9317,0.8835,722
0.84,690,24,168,143166,0.9664,0.8042,0.9289,0.8779,714
0.85,688,22,170,143168,0.969,0.8019,0.9302,0.8776,710
0.86,685,21,173,143169,0.9703,0.7984,0.9302,0.876,706
0.87,682,19,176,143171,0.9729,0.7949,0.9312,0.8749,701
0.88,678,17,180,143173,0.9755,0.7902,0.9318,0.8731,695
0.89,674,16,184,143174,0.9768,0.7855,0.9315,0.8708,690
0.9,672,16,186,143174,0.9767,0.7832,0.9307,0.8693,688
0.91,669,16,189,143174,0.9766,0.7797,0.9297,0.8671,685
0.92,666,16,192,143174,0.9765,0.7762,0.9286,0.8649,682
0.93,664,15,194,143175,0.9779,0.7739,0.9289,0.864,679
0.94,652,13,206,143177,0.9805,0.7599,0.9267,0.8562,665
0.95,647,12,211,143178,0.9818,0.7541,0.9259,0.853,659
0.96,628,10,230,143180,0.9843,0.7319,0.9208,0.8396,638
0.97,608,9,250,143181,0.9854,0.7086,0.914,0.8244,617
0.98,575,7,283,143183,0.988,0.6702,0.9024,0.7986,582
0.99,486,5,372,143185,0.9898,0.5664,0.8611,0.7205,491
