pair_idx,source1_entity_id,candidate_entity_id,candidate_source,label,prob_lightgbm,pred_lightgbm,prob_xgboost,pred_xgboost,prob_catboost,pred_catboost,error_type,error_category,in_lgb,in_xgboost,in_catboost
633,S1-102973018,S2-337033433,source2,1,0.8139,0,0.9393,1,0.7585,0,FN,ABBREVIATION_OR_ACRONYM,true,false,true
749,S1-103602194,S3-56115177,source3,1,0.4229,0,0.7427,0,0.6331,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
921,S1-10491612,S3-59606543,source3,1,0.8973,0,0.6638,0,0.8415,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
958,S1-106170397,S3-70544111,source3,1,0.8344,0,0.8049,0,0.6927,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
1564,S1-109461975,S3-472651362,source3,1,0.9337,1,0.7897,0,0.6952,0,FN,OTHER_FALSE_NEGATIVE,false,true,true
2297,S1-115733041,S2-183790719,source2,1,0.9866,1,0.9638,1,0.879,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
2461,S1-117150004,S2-991691724,source2,1,0.0258,0,0.015,0,0.0623,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
2842,S1-120176877,S3-859735351,source3,1,0.5949,0,0.5849,0,0.4223,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
2926,S1-121428705,S2-783860047,source2,1,0.9046,1,0.8727,0,0.8019,0,FN,OTHER_FALSE_NEGATIVE,false,true,true
2955,S1-121839562,S3-42114892,source3,1,0.001,0,0.0268,0,0.0076,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
3320,S1-124794328,S3-136780158,source3,1,0.4785,0,0.6392,0,0.6146,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
3778,S1-12685940,S3-620156041,source3,1,0.9817,1,0.8769,0,0.9069,1,FN,OTHER_FALSE_NEGATIVE,false,true,false
5098,S1-136461355,S3-433729747,source3,1,0.5079,0,0.5946,0,0.4061,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
5178,S1-137026686,S2-840758843,source2,1,0.0041,0,0.0105,0,0.0455,0,FN,MISSING_ADDRESS_EVIDENCE,true,true,true
7321,S1-148825883,S2-420994904,source2,0,0.9623,1,0.9321,1,0.8398,0,FP,OTHER_FALSE_POSITIVE,true,true,false
7704,S1-151714625,S3-451071182,source3,1,0.777,0,0.828,0,0.287,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
7916,S1-152649702,S3-833800741,source3,1,0.8595,0,0.356,0,0.5681,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
8183,S1-155701350,S3-245618183,source3,1,0.7384,0,0.3955,0,0.5232,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
8418,S1-156513520,S3-284947176,source3,1,0.66,0,0.1674,0,0.3808,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
9254,S1-161016043,S3-797831831,source3,1,0.7826,0,0.6816,0,0.7241,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
9713,S1-164124982,S3-399220586,source3,1,0.9817,1,0.9554,1,0.8817,0,FN,ABBREVIATION_OR_ACRONYM,false,false,true
9746,S1-164321130,S2-609888752,source2,1,0.9121,1,0.7789,0,0.7759,0,FN,OTHER_FALSE_NEGATIVE,false,true,true
9864,S1-164813708,S2-486941957,source2,1,0.955,1,0.8541,0,0.8045,0,FN,OTHER_FALSE_NEGATIVE,false,true,true
10050,S1-167672817,S3-161180385,source3,1,0.8395,0,0.8937,0,0.7923,0,FN,OTHER_FALSE_NEGATIVE,true,true,true
10958,S1-171092607,S3-793422792,source3,1,0.4992,0,0.6532,0,0.8285,0,FN,SEVERE_ADDRESS_DIVERGENCE,true,true,true
12152,S1-178206037,S2-238463399,source2,1,0.1256,0,0.5548,0,0.2026,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
12377,S1-178921025,S3-156709896,source3,1,0.1444,0,0.3691,0,0.4663,0,FN,ABBREVIATION_OR_ACRONYM,true,true,true
